song_id;song;track;writers;length;year;album
92;i_knew_you_were_trouble;4;max_martin;3:39;2012;red
92;i_knew_you_were_trouble;4;shellback;3:39;2012;red
93;all_too_well;5;taylor_swift;5:29;2012;red
93;all_too_well;5;liz_rose;5:29;2012;red
94;22;6;taylor_swift;3:52;2012;red
94;22;6;max_martin;3:52;2012;red
94;22;6;shellback;3:52;2012;red
95;i_almost_do;7;taylor_swift;4:04;2012;red
96;we_are_never_ever_getting_back_together;8;taylor_swift;3:13;2012;red
96;we_are_never_ever_getting_back_together;8;max_martin;3:13;2012;red
96;we_are_never_ever_getting_back_together;8;shellback;3:13;2012;red
97;stay_stay_stay;9;taylor_swift;3:25;2012;red
98;the_last_time;10;taylor_swift;4:59;2012;red
98;the_last_time;10;lightbody;4:59;2012;red
98;the_last_time;10;jacknife_lee;4:59;2012;red
99;holy_ground;11;taylor_swift;3:22;2012;red
100;sad_beautiful_tragic;12;taylor_swift;4:44;2012;red
101;the_lucky_one;13;taylor_swift;4:00;2012;red
102;everything_has_changed;14;taylor_swift;4:05;2012;red
102;everything_has_changed;14;ed_sheeran;4:05;2012;red
103;starlight;15;taylor_swift;3:40;2012;red
104;begin_again;16;taylor_swift;3:57;2012;red
105;ready_for_it;1;taylor_swift;3:28;2017;reputation
105;ready_for_it;1;max_martin;3:28;2017;reputation
105;ready_for_it;1;shellback;3:28;2017;reputation
105;ready_for_it;1;ali_payami;3:28;2017;reputation
106;end_game;2;taylor_swift;4:04;2017;reputation
106;end_game;2;max_martin;4:04;2017;reputation
106;end_game;2;shellback;4:04;2017;reputation
106;end_game;2;ed_sheeran;4:04;2017;reputation
106;end_game;2;nayvadius_wilburn;4:04;2017;reputation
107;i_did_something_bad;3;taylor_swift;3:58;2017;reputation
107;i_did_something_bad;3;max_martin;3:58;2017;reputation
107;i_did_something_bad;3;shellback;3:58;2017;reputation
108;don_t_blame_me;4;taylor_swift;3:56;2017;reputation
108;don_t_blame_me;4;max_martin;3:56;2017;reputation
108;don_t_blame_me;4;shellback;3:56;2017;reputation
109;delicate;5;taylor_swift;3:52;2017;reputation
109;delicate;5;max_martin;3:52;2017;reputation
109;delicate;5;shellback;3:52;2017;reputation
110;look_what_you_made_me_do;6;taylor_swift;3:31;2017;reputation
110;look_what_you_made_me_do;6;jack_antonoff;3:31;2017;reputation
110;look_what_you_made_me_do;6;richard_fairbrass;3:31;2017;reputation
110;look_what_you_made_me_do;6;fred_fairbrass;3:31;2017;reputation
110;look_what_you_made_me_do;6;rob_manzoli;3:31;2017;reputation
111;so_it_goes;7;taylor_swift;3:47;2017;reputation
111;so_it_goes;7;max_martin;3:47;2017;reputation
111;so_it_goes;7;shellback;3:47;2017;reputation
111;so_it_goes;7;oscar_görres;3:47;2017;reputation
112;gorgeous;8;taylor_swift;3:29;2017;reputation
112;gorgeous;8;max_martin;3:29;2017;reputation
112;gorgeous;8;shellback;3:29;2017;reputation
113;getaway_car;9;taylor_swift;3:53;2017;reputation
113;getaway_car;9;jack_antonoff;3:53;2017;reputation
114;king_of_my_heart;10;taylor_swift;3:34;2017;reputation
114;king_of_my_heart;10;max_martin;3:34;2017;reputation
114;king_of_my_heart;10;shellback;3:34;2017;reputation
115;dancing_with_our_hands_tied;11;taylor_swift;3:31;2017;reputation
115;dancing_with_our_hands_tied;11;max_martin;3:31;2017;reputation
115;dancing_with_our_hands_tied;11;shellback;3:31;2017;reputation
115;dancing_with_our_hands_tied;11;oscar_görres;3:31;2017;reputation
116;dress;12;taylor_swift;3:50;2017;reputation
116;dress;12;jack_antonoff;3:50;2017;reputation
117;this_is_why_we_can_t_have_nice_things;13;taylor_swift;3:27;2017;reputation
117;this_is_why_we_can_t_have_nice_things;13;jack_antonoff;3:27;2017;reputation
118;call_it_what_you_want;14;taylor_swift;3:23;2017;reputation
118;call_it_what_you_want;14;jack_antonoff;3:23;2017;reputation
119;new_year_s_day;15;taylor_swift;3:55;2017;reputation
119;new_year_s_day;15;jack_antonoff;3:55;2017;reputation
120;mine;1;taylor_swift;3:50;2010;speak_now
121;sparks_fly;2;taylor_swift;4:20;2010;speak_now
122;back_to_december;3;taylor_swift;4:53;2010;speak_now
123;speak_now;4;taylor_swift;4:00;2010;speak_now
124;dear_john;5;taylor_swift;6:43;2010;speak_now
125;mean;6;taylor_swift;3:57;2010;speak_now
126;the_story_of_us;7;taylor_swift;4:25;2010;speak_now
127;never_grow_up;8;taylor_swift;4:50;2010;speak_now
128;enchanted;9;taylor_swift;5:52;2010;speak_now
129;better_than_revenge;10;taylor_swift;3:37;2010;speak_now
130;innocent;11;taylor_swift;5:02;2010;speak_now
131;haunted;12;taylor_swift;4:02;2010;speak_now
132;last_kiss;13;taylor_swift;6:07;2010;speak_now
133;long_live;14;taylor_swift;5:17;2010;speak_now
134;tim_mcgraw;1;taylor_swift;3:54;2006;taylor_swift
134;tim_mcgraw;1;liz_rose;3:54;2006;taylor_swift
135;picture_to_burn;2;taylor_swift;2:55;2006;taylor_swift
135;picture_to_burn;2;liz_rose;2:55;2006;taylor_swift
136;teardrops_on_my_guitar;3;taylor_swift;3:35;2006;taylor_swift
136;teardrops_on_my_guitar;3;liz_rose;3:35;2006;taylor_swift
137;a_place_in_this_world;4;taylor_swift;3:22;2006;taylor_swift
137;a_place_in_this_world;4;robert_ellis_orrall;3:22;2006;taylor_swift
137;a_place_in_this_world;4;angelo_petraglia;3:22;2006;taylor_swift
138;cold_as_you;5;taylor_swift;4:01;2006;taylor_swift
138;cold_as_you;5;liz_rose;4:01;2006;taylor_swift
139;the_outside;6;taylor_swift;3:29;2006;taylor_swift
140;tied_together_with_a_smile;7;taylor_swift;4:11;2006;taylor_swift
140;tied_together_with_a_smile;7;liz_rose;4:11;2006;taylor_swift
141;stay_beautiful;8;taylor_swift;3:58;2006;taylor_swift
141;stay_beautiful;8;liz_rose;3:58;2006;taylor_swift
142;should_ve_said_no;9;taylor_swift;4:04;2006;taylor_swift
143;mary_s_song_oh_my_my_my;10;taylor_swift;3:35;2006;taylor_swift
143;mary_s_song_oh_my_my_my;10;liz_rose;3:35;2006;taylor_swift
143;mary_s_song_oh_my_my_my;10;brian_maher;3:35;2006;taylor_swift
144;our_song;11;taylor_swift;3:24;2006;taylor_swift
145;the_fate_of_ophelia;1;taylor_swift;3:46;2025;the_life_of_a_showgirl
145;the_fate_of_ophelia;1;max_martin;3:46;2025;the_life_of_a_showgirl
145;the_fate_of_ophelia;1;shellback;3:46;2025;the_life_of_a_showgirl
146;elizabeth_taylor;2;taylor_swift;3:28;2025;the_life_of_a_showgirl
146;elizabeth_taylor;2;max_martin;3:28;2025;the_life_of_a_showgirl
146;elizabeth_taylor;2;shellback;3:28;2025;the_life_of_a_showgirl
147;opalite;3;taylor_swift;3:55;2025;the_life_of_a_showgirl
147;opalite;3;max_martin;3:55;2025;the_life_of_a_showgirl
147;opalite;3;shellback;3:55;2025;the_life_of_a_showgirl
148;father_figure;4;taylor_swift;3:32;2025;the_life_of_a_showgirl
148;father_figure;4;max_martin;3:32;2025;the_life_of_a_showgirl
148;father_figure;4;shellback;3:32;2025;the_life_of_a_showgirl
148;father_figure;4;george_michael;3:32;2025;the_life_of_a_showgirl
149;eldest_daughter;5;taylor_swift;4:06;2025;the_life_of_a_showgirl
149;eldest_daughter;5;max_martin;4:06;2025;the_life_of_a_showgirl
149;eldest_daughter;5;shellback;4:06;2025;the_life_of_a_showgirl
150;ruin_the_friendship;6;taylor_swift;3:40;2025;the_life_of_a_showgirl
150;ruin_the_friendship;6;max_martin;3:40;2025;the_life_of_a_showgirl
150;ruin_the_friendship;6;shellback;3:40;2025;the_life_of_a_showgirl
151;actually_romantic;7;taylor_swift;2:43;2025;the_life_of_a_showgirl
151;actually_romantic;7;max_martin;2:43;2025;the_life_of_a_showgirl
151;actually_romantic;7;shellback;2:43;2025;the_life_of_a_showgirl
152;wish_list;8;taylor_swift;3:27;2025;the_life_of_a_showgirl
